date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-10-27,sh.600000,4.9545059200,5.0974243600,4.8966579800,4.9102692600,4.9749228400,121544448,1780283745.0000,2,1.058836,1,-1.299600,0
2010-10-28,sh.600000,4.9102692600,5.0021454000,4.8558241400,4.9579087400,4.9102692600,99319456,1438269029.0000,2,0.865223,1,0.970200,0
2010-10-29,sh.600000,4.9953397600,4.9953397600,4.8660326000,4.9272833600,4.9579087400,97225797,1407668560.0000,2,0.846984,1,-0.617700,0
2010-11-01,sh.600000,4.9374918200,5.0157566800,4.9238805400,4.9851313000,4.9272833600,116241177,1695574766.0000,2,1.012637,1,1.174000,0
2010-11-02,sh.600000,4.9851313000,5.0293679600,4.8558241400,4.9340890000,4.9851313000,137575640,1996966952.0000,2,1.198492,1,-1.023900,0
2010-11-03,sh.600000,4.9340890000,5.0974243600,4.8864495200,4.9987425800,4.9340890000,192927706,2844550996.0000,2,1.680693,1,1.310300,0
2010-11-04,sh.600000,5.0191595000,5.0463820600,4.9340890000,5.0021454000,4.9987425800,159439685,2340672415.0000,2,1.388961,1,0.068100,0
2010-11-05,sh.600000,5.0565905200,5.0838130800,4.9613115600,5.0089510400,5.0021454000,148253623,2178617062.0000,2,1.291514,1,0.136100,0
2010-11-08,sh.600000,5.0293679600,5.1450638400,5.0157566800,5.0736046200,5.0089510400,158999856,2373788723.0000,2,1.385130,1,1.290800,0
2010-11-09,sh.600000,5.0872159000,5.1042300000,4.9000608000,4.9374918200,5.0736046200,168692580,2472861556.0000,2,1.469568,1,-2.682800,0
2010-11-10,sh.600000,4.9170749000,4.9170749000,4.7571423600,4.8047818400,4.9374918200,185659480,2623791390.0000,2,1.617375,1,-2.687800,0
2010-11-11,sh.600000,4.8013790200,4.9170749000,4.7809621000,4.8456156800,4.8047818400,140741160,1997773591.0000,2,1.226069,1,0.849900,0
2010-11-12,sh.600000,4.8115874800,4.8115874800,4.5461675200,4.5529731600,4.8456156800,162468793,2234619167.0000,2,1.415349,1,-6.039300,0
2010-11-15,sh.600000,4.5767929000,4.6244323800,4.4781111200,4.6040154600,4.5529731600,102330904,1361157810.0000,2,0.891457,1,1.121100,0
2010-11-16,sh.600000,4.5597788000,4.5631816200,4.4134575400,4.4338744600,4.6040154600,101346354,1333616455.0000,2,0.882880,1,-3.695500,0
2010-11-17,sh.600000,4.3964434400,4.5461675200,4.3726237000,4.4679026600,4.4338744600,88936367,1168116297.0000,2,0.774771,1,0.767500,0
